,mean_abs_shap_degC
ALBEDO,1.9232212
NDWI,1.4004265
NDBI,0.77489436
dist_water_km,0.43097138
elev_m,0.28904623
bldg_height_m,0.24954842
NDVI,0.2103525
dist_coast_km,0.20821612
bldg_vol_m3,0.09841143
ghsl_built_frac,0.09818164
frac_water,0.07541245
pop_per_cell,0.06915633
frac_built,0.061987493
frac_lowveg,0.04574893
frac_tree,0.03925289
frac_bare,0.019182824
frac_wetland,0.005423751
