cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
13475,greening,1002375.0,4613.422037124634,0.0,1220,550,80.2029,13.01824
13150,greening,982125.0,4603.262920379639,0.0,1190,600,80.2167,13.02642
12608,greening,901125.0,4587.203553199768,0.0,1140,680,80.23879,13.04005
12389,greening,901125.0,4583.724547386169,0.0,1120,690,80.24154,13.04548
12716,greening,982125.0,4573.846912384033,0.0,1150,660,80.23327,13.03732
12607,greening,911250.0,4573.140850067139,0.0,1140,670,80.23603,13.04004
12266,greening,850500.0,4556.55877494812,0.0,1110,560,80.20557,13.04809
14926,greening,1002375.0,4553.784992218018,0.0,1350,760,80.2611,12.98315
12398,greening,951750.0,4542.456596374512,0.0,1120,780,80.26645,13.04555
10752,greening,1012500.0,4540.377784729004,0.0,970,820,80.27739,13.08627
11158,greening,1012500.0,4520.774847507477,0.0,1010,480,80.18335,13.07514
7228,greening,961875.0,4509.156569957733,4434.812900066376,650,780,80.26607,13.17305
11492,greening,1012500.0,4500.116359710693,4500.116359710693,1040,520,80.19444,13.06704
12322,greening,931500.0,4499.439485549927,2559.0373973846436,1120,20,80.05618,13.04487
12612,greening,901125.0,4493.3956961631775,0.0,1140,720,80.24986,13.04008
14489,greening,1012500.0,4483.972372055054,0.0,1310,790,80.26936,12.99402
11631,greening,1002375.0,4452.762403488159,0.0,1050,810,80.27469,13.06457
13694,greening,911250.0,4442.880211830139,0.0,1240,540,80.20015,13.01281
13260,greening,1002375.0,4440.435573577881,0.0,1200,600,80.21671,13.02371
15990,greening,951750.0,4439.216854095459,0.0,1450,400,80.16161,12.95572
12917,greening,880875.0,4435.290002822876,0.0,1170,470,80.18072,13.03173
12263,greening,941625.0000000001,4426.7811069488525,726.6774768829346,1110,530,80.19727,13.04806
11718,greening,982125.0,4416.884560108185,0.0,1060,580,80.21106,13.06167
13050,greening,921374.9999999999,4414.0095500946045,0.0,1180,700,80.24436,13.02922
12156,greening,961875.0,4410.335561752319,0.0,1100,560,80.20556,13.0508
9955,greening,941625.0000000001,4388.1072063446045,0.0,900,550,80.20262,13.10504
12610,greening,769500.0,4385.880512237549,0.0,1140,700,80.24433,13.04007
10642,greening,1002375.0,4367.178995132446,0.0,960,820,80.27739,13.08899
11737,greening,880875.0,4363.365171432495,0.0,1060,770,80.26363,13.06182
15020,greening,1012500.0,4363.009740829468,0.0,1360,600,80.21685,12.98031
12227,greening,870750.0,4349.956499099731,0.0,1110,170,80.09767,13.04773
10171,greening,961875.0,4344.4616775512695,0.0,920,510,80.19157,13.09958
5076,greening,303750.00000000006,4331.114082336426,4220.824672698975,460,160,80.09425,13.22403
13038,greening,972000.0,4319.279582977295,0.0,1180,580,80.21116,13.02912
11843,greening,972000.0,4314.8491497039795,0.0,1070,730,80.25257,13.05908
11077,greening,779625.0,4308.358378410339,0.0,1000,770,80.26358,13.0781
14703,greening,931500.0,4301.978607177734,0.0,1330,730,80.25278,12.98855
11994,greening,951750.0,4292.780385971069,0.0,1090,40,80.06168,13.05303
12267,greening,860625.0,4279.2320766448975,0.0,1110,570,80.20834,13.0481
